id,y_DFT,y_pred_scratch,y_pred_pretrained,is_stable_DFT
Type4-CrTiAlN,211.134,190.54724,202.85608,False
Type4-CrNbGaC,43.699,45.34503,42.12863,False
Type4-CoTaGaN,411.695,455.5448,401.3249,False
Type4-VFeGeP,117.977,164.58018,191.6163,False
Type4-CoMoSiC,370.457,406.5088,393.3299,False
Type4-FeCoSiN,513.141,500.15503,519.60034,False
Type4-CrMoGaC,5.978,12.581787,20.063416,True
Type4-MnScSiN,498.223,535.843,490.71246,False
Type4-FeScGaC,16.173,34.851105,84.70218,True
Type4-CrFeSiC,227.532,267.45212,265.12506,False
Type4-FeTiGeN,335.636,348.22745,308.47852,False
Type4-VHfAlC,61.633,93.00691,57.434784,False
Type4-CrHfSiC,248.001,265.74805,153.35759,False
Type4-CrWGeP,311.137,393.64682,298.09286,False
Type4-NiNbGaN,473.864,507.06555,450.9118,False
Type4-VMoAlN,238.737,216.4931,226.8193,False
Type4-VCoAlB,476.94,456.38983,383.95624,False
Type4-CrFeSiN,331.584,314.2539,353.90424,False
Type4-VCrAlB,253.162,259.9745,251.88861,False
Type4-NiScGeN,458.816,513.2455,444.0,False
Type4-MnTaGeB,232.093,295.23087,206.28354,False
Type4-NiMoGaC,306.299,312.9991,308.49493,False
Type4-CrWSiC,219.588,172.31651,179.42717,False
Type4-CrMnGaN,79.477,89.95471,99.96283,False
Type4-NiHfSiB,260.843,406.585,326.55707,False
Type4-CrYAlP,521.022,576.92523,519.8113,False
Type4-CrMnGaP,305.088,265.15646,237.34663,False
Type4-FeCuGeP,329.502,244.069,259.6975,False
Type4-MnFeGaN,71.343,109.1983,107.136,False
Type4-VFeGeN,271.087,319.18915,305.49164,False
Type4-CrTiSiN,295.825,304.99023,279.9494,False
Type4-VCrGaN,97.881,60.432755,35.944824,False
Type4-CrCuSiP,259.739,344.3484,290.7818,False
Type4-MnNiSiC,427.016,384.29703,416.24445,False
Type4-NiScGaN,567.436,558.3601,445.9195,False
Type4-VTaGeP,173.114,284.2994,166.67201,False
Type4-CrHfAlP,360.478,366.78195,342.8742,False
Type4-VYAlN,314.854,251.83142,206.08759,False
Type4-VCrGaP,310.197,278.53668,213.82286,False
Type4-FeHfSiB,354.652,432.89822,363.58112,False
Type4-CrScGaP,355.402,295.74506,232.86667,False
Type4-FeTiGeB,225.419,252.97003,225.31894,False
Type4-FeYAlC,296.112,253.13663,187.76897,False
Type4-VScGeB,489.343,478.9526,407.14343,False
Type4-MnZrGeP,131.602,308.02243,243.14581,False
Type4-MnTaGeC,153.105,173.93115,105.02951,False
Type4-CoHfAlB,297.655,392.90295,345.2294,False
Type4-CoScAlB,300.628,341.1266,301.0687,False
Type4-MnNbAlC,160.992,103.92854,111.002335,False
Type4-VCuSiB,502.874,536.66614,513.7112,False
Type4-NiScGaP,192.349,446.9638,219.62941,False
Type4-CoNbGeP,110.133,368.14917,199.04517,False
Type4-NiNbAlP,311.147,550.8356,427.56665,False
Type4-CrTiGeP,186.067,242.7197,209.65395,False
Type4-NiMoAlN,564.657,598.60114,626.42896,False
